Time_Hours,Well,Group,OD600,OD600_Normalized
8.689972222222222,D11,Sample C + exo,0.1451999992132187,0.004633332292238862
8.945555555555556,D11,Sample C + exo,0.14959999918937683,0.008366664250691741
9.201138888888888,D11,Sample C + exo,0.14790000021457672,0.007066672046979278
9.456750000000001,D11,Sample C + exo,0.14790000021457672,0.00793332854906717
9.712333333333333,D11,Sample C + exo,0.147599995136261,0.006733328104019165
9.967916666666667,D11,Sample C + exo,0.1500999927520752,0.007499987880388886
10.223583333333334,D11,Sample C + exo,0.15379999577999115,0.010499998927116394
10.479138888888889,D11,Sample C + exo,0.1551000028848648,0.013433337211608887
10.73475,D11,Sample C + exo,0.15049999952316284,0.0075333366791407175
10.990333333333332,D11,Sample C + exo,0.1543000042438507,0.01293333371480307
11.245916666666668,D11,Sample C + exo,0.15440000593662262,0.009033337235450745
11.5015,D11,Sample C + exo,0.15309999883174896,0.009266664584477752
11.757083333333334,D11,Sample C + exo,0.15559999644756317,0.013566662867863982
12.012666666666666,D11,Sample C + exo,0.15279999375343323,0.00963332752386728
12.268249999999998,D11,Sample C + exo,0.15479999780654907,0.011966665585835784
12.523861111111112,D11,Sample C + exo,0.15410000085830688,0.008933330575625092
12.779444444444444,D11,Sample C + exo,0.15360000729560852,0.007533341646194458
13.035027777777778,D11,Sample C + exo,0.15620000660419464,0.010300005475680024
13.29061111111111,D11,Sample C + exo,0.15479999780654907,0.009833330909411103
13.546194444444446,D11,Sample C + exo,0.15719999372959137,0.010233327746391296
13.801805555555555,D11,Sample C + exo,0.15539999306201935,0.011666655540466309
14.057416666666667,D11,Sample C + exo,0.1543000042438507,0.007733340064684541
14.313,D11,Sample C + exo,0.1550000011920929,0.008500004808108003
14.56861111111111,D11,Sample C + exo,0.15800000727176666,0.012633338570594788
14.824194444444444,D11,Sample C + exo,0.15790000557899475,0.009800006945927947
15.079777777777776,D11,Sample C + exo,0.15839999914169312,0.010733331243197114
15.335361111111112,D11,Sample C + exo,0.15880000591278076,0.010600005586942046
15.590972222222222,D11,Sample C + exo,0.15889999270439148,0.011066660284996033
15.846555555555556,D11,Sample C + exo,0.15970000624656677,0.011433343092600495
16.102138888888888,D11,Sample C + exo,0.1599999964237213,0.011433333158493042
16.357722222222222,D11,Sample C + exo,0.15850000083446503,0.010500003894170135
16.613305555555556,D11,Sample C + exo,0.16040000319480896,0.013200004895528167
16.86888888888889,D11,Sample C + exo,0.1607999950647354,0.01256666084130606
17.12447222222222,D11,Sample C + exo,0.16110000014305115,0.012266665697097778
17.380083333333335,D11,Sample C + exo,0.1615000069141388,0.012033343315124512
17.635666666666665,D11,Sample C + exo,0.16220000386238098,0.014900003870328277
17.89125,D11,Sample C + exo,0.16300000250339508,0.01279999812444052
18.146833333333333,D11,Sample C + exo,0.16220000386238098,0.014766668279965728
18.402416666666667,D11,Sample C + exo,0.1639000028371811,0.015266666809717805
18.658027777777775,D11,Sample C + exo,0.1648000031709671,0.016933336853981018
18.91363888888889,D11,Sample C + exo,0.16279999911785126,0.01429999868075052
19.16925,D11,Sample C + exo,0.16539999842643738,0.01633332669734955
19.424833333333332,D11,Sample C + exo,0.16419999301433563,0.014099995295206696
19.680416666666666,D11,Sample C + exo,0.16580000519752502,0.01836666961510977
19.936,D11,Sample C + exo,0.1656000018119812,0.019233341018358857
0.0,D12,Sample C + exo,0.11890000104904175,0.006533332169055939
0.25558333333333333,D12,Sample C + exo,0.11940000206232071,0.009933335085709885
0.5111666666666667,D12,Sample C + exo,0.12280000001192093,0.005866664151350662
0.76675,D12,Sample C + exo,0.12200000137090683,0.003433334330717727
1.0223333333333333,D12,Sample C + exo,0.12290000170469284,0.0012999996542930603
1.2779444444444445,D12,Sample C + exo,0.1264999955892563,0.002866660555203751
1.5335277777777778,D12,Sample C + exo,0.1282999962568283,0.005633326868216201
1.789111111111111,D12,Sample C + exo,0.13040000200271606,0.005466667314370469
2.044694444444444,D12,Sample C + exo,0.13120000064373016,0.006199995676676423
2.3002777777777776,D12,Sample C + exo,0.13519999384880066,0.007966657479604095
2.555888888888889,D12,Sample C + exo,0.1362999975681305,0.008866662780443818
2.811472222222222,D12,Sample C + exo,0.13750000298023224,0.009066668649514525
3.0670555555555556,D12,Sample C + exo,0.13760000467300415,0.008000003794829041
3.3226388888888887,D12,Sample C + exo,0.14159999787807465,0.010899998247623444
3.578222222222222,D12,Sample C + exo,0.14270000159740448,0.013100003202756255
3.8338055555555557,D12,Sample C + exo,0.14159999787807465,0.009066663682460785
4.089416666666667,D12,Sample C + exo,0.14550000429153442,0.013566672801971436
